alpha-1-B glycoprotein	A1BG
olfactory receptor family 7 subfamily E member 97 pseudogene	OR7E97P
olfactory receptor family 7 subfamily E member 99 pseudogene	OR7E99P
olfactory receptor family 7 subfamily E member 100 pseudogene	OR7E100P
olfactory receptor family 7 subfamily E member 101 pseudogene	OR7E101P
olfactory receptor family 7 subfamily E member 102 pseudogene	OR7E102P
olfactory receptor family 7 subfamily E member 104 pseudogene	OR7E104P
olfactory receptor family 7 subfamily E member 105 pseudogene	OR7E105P
olfactory receptor family 7 subfamily E member 106 pseudogene	OR7E106P
olfactory receptor family 7 subfamily E member 108 pseudogene	OR7E108P
olfactory receptor family 7 subfamily E member 109 pseudogene	OR7E109P
olfactory receptor family 7 subfamily E member 110 pseudogene	OR7E110P
olfactory receptor family 7 subfamily E member 111 pseudogene	OR7E111P
olfactory receptor family 7 subfamily E member 115 pseudogene	OR7E115P
olfactory receptor family 7 subfamily E member 116 pseudogene	OR7E116P
olfactory receptor family 7 subfamily E member 117 pseudogene	OR7E117P
olfactory receptor family 7 subfamily E member 121 pseudogene	OR7E121P
olfactory receptor family 7 subfamily E member 122 pseudogene	OR7E122P
olfactory receptor family 7 subfamily E member 125 pseudogene	OR7E125P
olfactory receptor family 7 subfamily E member 126 pseudogene	OR7E126P
olfactory receptor family 7 subfamily E member 128 pseudogene	OR7E128P
olfactory receptor family 7 subfamily E member 129 pseudogene	OR7E129P
olfactory receptor family 7 subfamily E member 130 pseudogene	OR7E130P
olfactory receptor family 7 subfamily E member 136 pseudogene	OR7E136P
olfactory receptor family 7 subfamily E member 140 pseudogene	OR7E140P
olfactory receptor family 7 subfamily E member 145 pseudogene	OR7E145P
olfactory receptor family 7 subfamily E member 148 pseudogene	OR7E148P
olfactory receptor family 7 subfamily E member 149 pseudogene	OR7E149P
olfactory receptor family 7 subfamily E member 154 pseudogene	OR7E154P
olfactory receptor family 7 subfamily E member 155 pseudogene	OR7E155P
olfactory receptor family 7 subfamily E member 156 pseudogene	OR7E156P
olfactory receptor family 7 subfamily E member 157 pseudogene	OR7E157P
olfactory receptor family 7 subfamily E member 158 pseudogene	OR7E158P
olfactory receptor family 7 subfamily E member 159 pseudogene	OR7E159P
olfactory receptor family 7 subfamily E member 160 pseudogene	OR7E160P
olfactory receptor family 7 subfamily E member 161 pseudogene	OR7E161P
olfactory receptor family 7 subfamily E member 162 pseudogene	OR7E162P
olfactory receptor family 7 subfamily E member 163 pseudogene	OR7E163P
olfactory receptor family 7 subfamily G member 1	OR7G1
olfactory receptor family 7 subfamily G member 2	OR7G2
olfactory receptor family 7 subfamily G member 3	OR7G3
olfactory receptor family 7 subfamily G member 15 pseudogene	OR7G15P
olfactory receptor family 7 subfamily H member 1 pseudogene	OR7H1P
olfactory receptor family 7 subfamily H member 2 pseudogene	OR7H2P
olfactory receptor family 7 subfamily K member 1 pseudogene	OR7K1P
olfactory receptor family 7 subfamily L member 1 pseudogene	OR7L1P
olfactory receptor family 7 subfamily M member 1 pseudogene	OR7M1P
olfactory receptor family 8 subfamily A member 1	OR8A1
olfactory receptor family 8 subfamily A member 2 pseudogene	OR8A2P
olfactory receptor family 8 subfamily A member 3 pseudogene	OR8A3P
olfactory receptor family 8 subfamily B member 1 pseudogene	OR8B1P
olfactory receptor family 8 subfamily B member 2	OR8B2
olfactory receptor family 8 subfamily B member 3	OR8B3
olfactory receptor family 8 subfamily B member 4 (gene/pseudogene)	OR8B4
olfactory receptor family 8 subfamily B member 5 pseudogene	OR8B5P
olfactory receptor family 8 subfamily B member 6 pseudogene	OR8B6P
olfactory receptor family 8 subfamily B member 7 pseudogene	OR8B7P
olfactory receptor family 8 subfamily B member 8	OR8B8
olfactory receptor family 8 subfamily B member 9 pseudogene	OR8B9P
olfactory receptor family 8 subfamily B member 10 pseudogene	OR8B10P
olfactory receptor family 8 subfamily B member 12	OR8B12
olfactory receptor family 8 subfamily C member 1 pseudogene	OR8C1P
olfactory receptor family 8 subfamily D member 1	OR8D1
olfactory receptor family 8 subfamily D member 2 (gene/pseudogene)	OR8D2
olfactory receptor family 8 subfamily D member 4	OR8D4
olfactory receptor family 8 subfamily F member 1 pseudogene	OR8F1P
olfactory receptor family 8 subfamily G member 1 (gene/pseudogene)	OR8G1
olfactory receptor family 8 subfamily G member 2 pseudogene	OR8G2P
olfactory receptor family 8 subfamily G member 3 pseudogene	OR8G3P
olfactory receptor family 8 subfamily G member 5	OR8G5
olfactory receptor family 8 subfamily G member 7 pseudogene	OR8G7P
olfactory receptor family 8 subfamily H member 1	OR8H1
olfactory receptor family 8 subfamily H member 2	OR8H2
olfactory receptor family 8 subfamily H member 3	OR8H3
olfactory receptor family 8 subfamily I member 1 pseudogene	OR8I1P
olfactory receptor family 8 subfamily I member 2	OR8I2
olfactory receptor family 8 subfamily I member 4 pseudogene	OR8I4P
olfactory receptor family 8 subfamily J member 1	OR8J1
olfactory receptor family 8 subfamily J member 2 (gene/pseudogene)	OR8J2
olfactory receptor family 8 subfamily J member 3	OR8J3
olfactory receptor family 8 subfamily K member 1	OR8K1
olfactory receptor family 8 subfamily K member 2 pseudogene	OR8K2P
olfactory receptor family 8 subfamily K member 3 (gene/pseudogene)	OR8K3
olfactory receptor family 8 subfamily K member 4 pseudogene	OR8K4P
olfactory receptor family 8 subfamily K member 5	OR8K5
olfactory receptor family 8 subfamily L member 1 pseudogene	OR8L1P
olfactory receptor family 8 subfamily Q member 1 pseudogene	OR8Q1P
olfactory receptor family 8 subfamily R member 1 pseudogene	OR8R1P
olfactory receptor family 8 subfamily S member 1	OR8S1
olfactory receptor family 8 subfamily S member 21 pseudogene	OR8S21P
olfactory receptor family 8 subfamily T member 1 pseudogene	OR8T1P
olfactory receptor family 8 subfamily U member 1	OR8U1
olfactory receptor family 8 subfamily U member 8	OR8U8
olfactory receptor family 8 subfamily U member 9	OR8U9
olfactory receptor family 8 subfamily V member 1 pseudogene	OR8V1P
olfactory receptor family 8 subfamily X member 1 pseudogene	OR8X1P
olfactory receptor family 9 subfamily A member 1 pseudogene	OR9A1P
olfactory receptor family 9 subfamily A member 2	OR9A2
olfactory receptor family 9 subfamily A member 3 pseudogene	OR9A3P
olfactory receptor family 9 subfamily A member 4	OR9A4
olfactory receptor family 9 subfamily G member 1	OR9G1
olfactory receptor family 9 subfamily G member 2 pseudogene	OR9G2P
olfactory receptor family 9 subfamily G member 3 pseudogene	OR9G3P
olfactory receptor family 9 subfamily G member 4	OR9G4
olfactory receptor family 9 subfamily G member 9	OR9G9
olfactory receptor family 9 subfamily H member 1 pseudogene	OR9H1P
olfactory receptor family 9 subfamily I member 1	OR9I1
olfactory receptor family 9 subfamily I member 2 pseudogene	OR9I2P
olfactory receptor family 9 subfamily I member 3 pseudogene	OR9I3P
olfactory receptor family 9 subfamily K member 1 pseudogene	OR9K1P
olfactory receptor family 9 subfamily K member 2	OR9K2
olfactory receptor family 9 subfamily L member 1 pseudogene	OR9L1P
olfactory receptor family 9 subfamily M member 1, pseudogene	OR9M1P
olfactory receptor family 9 subfamily N member 1 pseudogene	OR9N1P
olfactory receptor family 9 subfamily P member 1 pseudogene	OR9P1P
olfactory receptor family 9 subfamily Q member 1	OR9Q1
olfactory receptor family 9 subfamily Q member 2	OR9Q2
olfactory receptor family 9 subfamily R member 1 pseudogene	OR9R1P
olfactory receptor family 9 subfamily S member 24 pseudogene	OR9S24P
olfactory receptor family 10 subfamily A member 2	OR10A2
olfactory receptor family 10 subfamily A member 3	OR10A3
olfactory receptor family 10 subfamily A member 4	OR10A4
olfactory receptor family 10 subfamily A member 5	OR10A5
olfactory receptor family 10 subfamily A member 6 (gene/pseudogene)	OR10A6
olfactory receptor family 10 subfamily A member 7	OR10A7
olfactory receptor family 10 subfamily AA member 1 pseudogene	OR10AA1P
olfactory receptor family 10 subfamily AB member 1 pseudogene	OR10AB1P
olfactory receptor family 10 subfamily AC member 1 (gene/pseudogene)	OR10AC1
olfactory receptor family 10 subfamily AD member 1	OR10AD1
olfactory receptor family 10 subfamily AE member 1 pseudogene	OR10AE1P
olfactory receptor family 10 subfamily AE member 3 pseudogene	OR10AE3P
olfactory receptor family 10 subfamily AF member 1 pseudogene	OR10AF1P
olfactory receptor family 10 subfamily AG member 1	OR10AG1
olfactory receptor family 10 subfamily AH member 1 pseudogene	OR10AH1P
olfactory receptor family 10 subfamily AK member 1 pseudogene	OR10AK1P
olfactory receptor family 10 subfamily B member 1 pseudogene	OR10B1P
olfactory receptor family 10 subfamily C member 1 (gene/pseudogene)	OR10C1
olfactory receptor family 10 subfamily D member 1 pseudogene	OR10D1P
olfactory receptor family 10 subfamily D member 3 (putative)	OR10D3
olfactory receptor family 10 subfamily D member 4 pseudogene	OR10D4P
olfactory receptor family 10 subfamily D member 5 pseudogene	OR10D5P
olfactory receptor family 10 subfamily G member 1 pseudogene	OR10G1P
olfactory receptor family 10 subfamily G member 2	OR10G2
olfactory receptor family 10 subfamily G member 3	OR10G3
olfactory receptor family 10 subfamily G member 4	OR10G4
olfactory receptor family 10 subfamily G member 5 pseudogene	OR10G5P
olfactory receptor family 10 subfamily G member 6	OR10G6
olfactory receptor family 10 subfamily G member 7	OR10G7
olfactory receptor family 10 subfamily G member 8	OR10G8
olfactory receptor family 10 subfamily G member 9	OR10G9
olfactory receptor family 10 subfamily H member 1	OR10H1
olfactory receptor family 10 subfamily H member 2	OR10H2
olfactory receptor family 10 subfamily H member 3	OR10H3
olfactory receptor family 10 subfamily H member 4	OR10H4
olfactory receptor family 10 subfamily H member 5	OR10H5
olfactory receptor family 10 subfamily J member 1	OR10J1
olfactory receptor family 10 subfamily J member 2 pseudogene	OR10J2P
olfactory receptor family 10 subfamily J member 3	OR10J3
olfactory receptor family 10 subfamily J member 4 (gene/pseudogene)	OR10J4
olfactory receptor family 10 subfamily J member 5	OR10J5
olfactory receptor family 10 subfamily J member 6 pseudogene	OR10J6P
olfactory receptor family 10 subfamily J member 7 pseudogene	OR10J7P
olfactory receptor family 10 subfamily J member 8 pseudogene	OR10J8P
olfactory receptor family 10 subfamily J member 9 pseudogene	OR10J9P
olfactory receptor family 10 subfamily K member 1	OR10K1
olfactory receptor family 10 subfamily K member 2	OR10K2
olfactory receptor family 10 subfamily N member 1 pseudogene	OR10N1P
olfactory receptor family 10 subfamily P member 1	OR10P1
olfactory receptor family 10 subfamily Q member 1	OR10Q1
olfactory receptor family 10 subfamily Q member 2 pseudogene	OR10Q2P
olfactory receptor family 10 subfamily R member 1 pseudogene	OR10R1P
olfactory receptor family 10 subfamily R member 2	OR10R2
olfactory receptor family 10 subfamily R member 3 pseudogene	OR10R3P
olfactory receptor family 10 subfamily S member 1	OR10S1
olfactory receptor family 10 subfamily T member 1 pseudogene	OR10T1P
olfactory receptor family 10 subfamily T member 2	OR10T2
olfactory receptor family 10 subfamily U member 1 pseudogene	OR10U1P
olfactory receptor family 10 subfamily V member 1	OR10V1
olfactory receptor family 10 subfamily V member 2 pseudogene	OR10V2P
olfactory receptor family 10 subfamily V member 3 pseudogene	OR10V3P
olfactory receptor family 10 subfamily V member 7 pseudogene	OR10V7P
olfactory receptor family 10 subfamily W member 1	OR10W1
olfactory receptor family 10 subfamily X member 1 (gene/pseudogene)	OR10X1
olfactory receptor family 10 subfamily Y member 1 pseudogene	OR10Y1P
olfactory receptor family 10 subfamily Z member 1	OR10Z1
olfactory receptor family 11 subfamily A member 1	OR11A1
olfactory receptor family 11 subfamily G member 1 pseudogene	OR11G1P
olfactory receptor family 11 subfamily G member 2	OR11G2
olfactory receptor family 11 subfamily H member 1	OR11H1
olfactory receptor family 11 subfamily H member 2	OR11H2
olfactory receptor family 11 subfamily H member 3 pseudogene	OR11H3P
olfactory receptor family 11 subfamily H member 4	OR11H4
olfactory receptor family 11 subfamily H member 5 pseudogene	OR11H5P
olfactory receptor family 11 subfamily H member 6	OR11H6
olfactory receptor family 11 subfamily H member 7 (gene/pseudogene)	OR11H7
olfactory receptor family 11 subfamily H member 12	OR11H12
olfactory receptor family 11 subfamily H member 13 pseudogene	OR11H13P
olfactory receptor family 11 subfamily I member 1 pseudogene	OR11I1P
olfactory receptor family 11 subfamily J member 1 pseudogene	OR11J1P
olfactory receptor family 11 subfamily J member 2 pseudogene	OR11J2P
olfactory receptor family 11 subfamily J member 5 pseudogene	OR11J5P
olfactory receptor family 11 subfamily J member 6 pseudogene	OR11J6P
olfactory receptor family 11 subfamily J member 7 pseudogene	OR11J7P
olfactory receptor family 11 subfamily K member 1 pseudogene	OR11K1P
olfactory receptor family 11 subfamily K member 2 pseudogene	OR11K2P
olfactory receptor family 11 subfamily L member 1	OR11L1
olfactory receptor family 11 subfamily M member 1 pseudogene	OR11M1P
olfactory receptor family 11 subfamily N member 1 pseudogene	OR11N1P
olfactory receptor family 11 subfamily P member 1 pseudogene	OR11P1P
olfactory receptor family 11 subfamily Q member 1 pseudogene	OR11Q1P
olfactory receptor family 12 subfamily D member 1 (gene/pseudogene)	OR12D1
olfactory receptor family 12 subfamily D member 2 (gene/pseudogene)	OR12D2
olfactory receptor family 12 subfamily D member 3	OR12D3
olfactory receptor family 13 subfamily A member 1	OR13A1
olfactory receptor family 13 subfamily C member 1 pseudogene	OR13C1P
olfactory receptor family 13 subfamily C member 2	OR13C2
olfactory receptor family 13 subfamily C member 3	OR13C3
olfactory receptor family 13 subfamily C member 4	OR13C4
olfactory receptor family 13 subfamily C member 5	OR13C5
olfactory receptor family 13 subfamily C member 6 pseudogene	OR13C6P
olfactory receptor family 13 subfamily C member 7 (gene/pseudogene)	OR13C7
olfactory receptor family 13 subfamily C member 8	OR13C8
olfactory receptor family 13 subfamily C member 9	OR13C9
olfactory receptor family 13 subfamily D member 1	OR13D1
olfactory receptor family 13 subfamily D member 2 pseudogene	OR13D2P
olfactory receptor family 13 subfamily D member 3 pseudogene	OR13D3P
olfactory receptor family 13 subfamily E member 1 pseudogene	OR13E1P
olfactory receptor family 13 subfamily F member 1	OR13F1
olfactory receptor family 13 subfamily G member 1	OR13G1
olfactory receptor family 13 subfamily H member 1	OR13H1
olfactory receptor family 13 subfamily I member 1 pseudogene	OR13I1P
olfactory receptor family 13 subfamily J member 1	OR13J1
olfactory receptor family 13 subfamily K member 1 pseudogene	OR13K1P
olfactory receptor family 13 subfamily Z member 1 pseudogene	OR13Z1P
olfactory receptor family 13 subfamily Z member 2 pseudogene	OR13Z2P
olfactory receptor family 13 subfamily Z member 3 pseudogene	OR13Z3P
olfactory receptor family 14 subfamily A member 2	OR14A2
olfactory receptor family 14 subfamily A member 16	OR14A16
olfactory receptor family 14 subfamily C member 36	OR14C36
olfactory receptor family 14 subfamily I member 1	OR14I1
olfactory receptor family 14 subfamily J member 1	OR14J1
olfactory receptor family 14 subfamily K member 1	OR14K1
olfactory receptor family 14 subfamily L member 1 pseudogene	OR14L1P
olfactory receptor family 51 subfamily A member 1 pseudogene	OR51A1P
olfactory receptor family 51 subfamily A member 2	OR51A2
olfactory receptor family 51 subfamily A member 3 pseudogene	OR51A3P
olfactory receptor family 51 subfamily A member 4	OR51A4
olfactory receptor family 51 subfamily A member 5 pseudogene	OR51A5P
olfactory receptor family 51 subfamily A member 6 pseudogene	OR51A6P
olfactory receptor family 51 subfamily A member 7	OR51A7
olfactory receptor family 51 subfamily A member 8 pseudogene	OR51A8P
