Abnormality of body height	Abnormality of body height
Bullet-shaped innermost pinkie finger bone	Bullet-shaped proximal phalanx of the 5th finger
Bullet-shaped innermost pinky finger bone	Bullet-shaped proximal phalanx of the 5th finger
Curved innermost bone of little finger	Curved proximal phalanx of the 5th finger
Curved innermost bone of pinkie finger	Curved proximal phalanx of the 5th finger
Curved innermost bone of pinky finger	Curved proximal phalanx of the 5th finger
Uneven increase in bone density in the innermost bone of little finger	Patchy sclerosis of the proximal phalanx of the 5th finger
Uneven increase in bone density in the innermost bone of pinkie finger	Patchy sclerosis of the proximal phalanx of the 5th finger
Uneven increase in bone density in the innermost bone of pinky finger	Patchy sclerosis of the proximal phalanx of the 5th finger
Fused innermost bone of little finger	Symphalangism affecting the proximal phalanx of the 5th finger
Fused innermost bone of pinkie finger	Symphalangism affecting the proximal phalanx of the 5th finger
Fused innermost bone of pinky finger	Symphalangism affecting the proximal phalanx of the 5th finger
Triangular shaped innermost little finger bone	Triangular shaped proximal phalanx of the 5th finger
Triangular shaped innermost pinkie finger bone	Triangular shaped proximal phalanx of the 5th finger
Triangular shaped innermost pinky finger bone	Triangular shaped proximal phalanx of the 5th finger
Fused innermost bone of little finger with 5th long bone of hand	Symphalangism of the proximal phalanx of the 5th finger with the 5th metacarpal
Fused innermost bone of pinkie finger with 5th long bone of hand	Symphalangism of the proximal phalanx of the 5th finger with the 5th metacarpal
Fused innermost bone of pinky finger with 5th long bone of hand	Symphalangism of the proximal phalanx of the 5th finger with the 5th metacarpal
Rhomboid or triangular shaped innermost bone of little finger	Rhomboid or triangular shaped 5th finger proximal phalanx
Rhomboid or triangular shaped innermost bone of pinkie finger	Rhomboid or triangular shaped 5th finger proximal phalanx
Rhomboid or triangular shaped innermost bone of pinky finger	Rhomboid or triangular shaped 5th finger proximal phalanx
Fifth finger brachydactyly	Short 5th finger
Hypoplastic phalanges of the little finger	Short 5th finger
Hypoplastic/small 5th finger	Short 5th finger
Hypoplastic/small little finger	Short 5th finger
Short 5th finger	Short 5th finger
Short fifth finger	Short 5th finger
Short fifth fingers	Short 5th finger
Short little finger	Short 5th finger
Short phalanges of the little finger	Short 5th finger
Short pinkie finger	Short 5th finger
Short pinky finger	Short 5th finger
Absent little finger	Aplasia of the 5th finger
Absent pinkie finger	Aplasia of the 5th finger
Absent pinky finger	Aplasia of the 5th finger
Absent/small outermost bone of little finger	Aplasia/Hypoplasia of the distal phalanx of the 5th finger
Absent/small outermost bone of pinkie finger	Aplasia/Hypoplasia of the distal phalanx of the 5th finger
Absent/small outermost bone of pinky finger	Aplasia/Hypoplasia of the distal phalanx of the 5th finger
Absent/underdeveloped outermost bone of pinky finger	Aplasia/Hypoplasia of the distal phalanx of the 5th finger
Broad outermost little finger bone	Broad distal phalanx of the 5th finger
Broad outermost pinkie finger bone	Broad distal phalanx of the 5th finger
Broad outermost pinky finger bone	Broad distal phalanx of the 5th finger
Wide outermost pinky finger bone	Broad distal phalanx of the 5th finger
Bullet-shaped outermost little finger bone	Bullet-shaped distal phalanx of the 5th finger
Bullet-shaped outermost pinkie finger bone	Bullet-shaped distal phalanx of the 5th finger
Bullet-shaped outermost pinky finger bone	Bullet-shaped distal phalanx of the 5th finger
Uneven increase in bone density in the outermost bone of little finger	Patchy sclerosis of the distal phalanx of the 5th finger
Uneven increase in bone density in the outermost bone of pinkie finger	Patchy sclerosis of the distal phalanx of the 5th finger
Uneven increase in bone density in the outermost bone of pinky finger	Patchy sclerosis of the distal phalanx of the 5th finger
Fifth finger distal interphalangeal joint symphalangism	Distal/middle symphalangism of 5th finger
Fused end and middle bones of little finger	Distal/middle symphalangism of 5th finger
Fused end and middle bones of pinkie finger	Distal/middle symphalangism of 5th finger
Fused end and middle bones of pinky finger	Distal/middle symphalangism of 5th finger
Fusion of the terminal and middle phalanges of the 5th finger	Distal/middle symphalangism of 5th finger
Symphalangism of the distal and middle phalanges of the 5th finger	Distal/middle symphalangism of 5th finger
Symphalangism of the terminal and middle phalanges of the 5th finger	Distal/middle symphalangism of 5th finger
Triangular shaped outermost little finger bone	Triangular shaped distal phalanx of the 5th finger
Triangular shaped outermost pinkie finger bone	Triangular shaped distal phalanx of the 5th finger
Triangular shaped outermost pinky finger bone	Triangular shaped distal phalanx of the 5th finger
Absent outermost little finger bone	Aplasia of the distal phalanx of the 5th finger
Absent outermost pinkie finger bone	Aplasia of the distal phalanx of the 5th finger
Absent outermost pinky finger bone	Aplasia of the distal phalanx of the 5th finger
Abnormality of the end part of the middle bone of the ring finger	Abnormality of the epiphysis of the middle phalanx of the 4th finger
Abnormality of the end part of the innermost bone of the ring finger	Abnormality of the epiphysis of the proximal phalanx of the 4th finger
Abnormality of the end part of the outermost bone of the ring finger	Abnormality of the epiphysis of the distal phalanx of the 4th finger
Absent end part of the outermost bone of the ring finger	Absent epiphysis of the distal phalanx of the 4th finger
Bracket shaped end part of the outermost bone of the ring finger	Bracket epiphysis of the distal phalanx of the 4th finger
Cone-shaped end part of the outermost bone of the ring finger	Cone-shaped epiphysis of the distal phalanx of the 4th finger
Enlarged end part of the outermost bone of the ring finger	Enlarged epiphysis of the distal phalanx of the 4th finger
Fragmentation of end part of the outermost bone of the ring finger	Fragmentation of the epiphysis of the distal phalanx of the 4th finger
Irregular end part of the outermost bone of the ring finger	Irregular epiphysis of the distal phalanx of the 4th finger
Increased bone density of end part of the outermost ring finger bone	Ivory epiphysis of the distal phalanx of the 4th finger
Small end part of the outermost bone of the ring finger	Small epiphysis of the distal phalanx of the 4th finger
Speckled calcifications in the end part of the outermost bone of the ring finger	Stippling of the epiphysis of the distal phalanx of the 4th finger
Delta-shaped epiphysis of the distal phalanx of the 4th finger	Triangular epiphysis of the distal phalanx of the 4th finger
Triangular end part of the outermost bone of ring finger	Triangular epiphysis of the distal phalanx of the 4th finger
Absent end part of the innermost bone of the ring finger	Absent epiphysis of the proximal phalanx of the 4th finger
Bracket proximal epiphysis of the ring finger	Bracket epiphysis of the proximal phalanx of the 4th finger
Bracket shaped end part of the innermost bone of the ring finger	Bracket epiphysis of the proximal phalanx of the 4th finger
Cone-shaped end part of the innermost bone of the ring finger	Cone-shaped epiphysis of the proximal phalanx of the 4th finger
Enlarged end part of the innermost bone of the ring finger	Enlarged epiphysis of the proximal phalanx of the 4th finger
Fragmentation of end part of the innermost bone of the ring finger	Fragmentation of the epiphysis of the proximal phalanx of the 4th finger
Irregular end part of the innermost bone of the ring finger	Irregular epiphysis of the proximal phalanx of the 4th finger
Increased bone density of end part of the innermost ring finger bone	Ivory epiphysis of the proximal phalanx of the 4th finger
Small end part of the innermost bone of the ring finger	Small epiphysis of the proximal phalanx of the 4th finger
Speckled calcifications in end part of the innermost bone of ring finger	Stippling of the epiphysis of the proximal phalanx of the 4th finger
Delta-shaped epiphysis of the proximal phalanx of the 4th finger	Triangular epiphysis of the proximal phalanx of the 4th finger
Triangular end part of the innermost bone of ring finger	Triangular epiphysis of the proximal phalanx of the 4th finger
Absent/small ring finger bone	Aplasia/Hypoplasia of the 4th finger
Absent/underdeveloped ring finger bone	Aplasia/Hypoplasia of the 4th finger
Deviation of the ring finger	Deviation of the 4th finger
Joint contractures of the fourth finger	Joint contracture of the 4th finger
4th finger camptodactyly	Contracture of the proximal interphalangeal joint of the 4th finger
Camptodactyly of the 4th finger	Contracture of the proximal interphalangeal joint of the 4th finger
Camptodactyly of the ring finger	Contracture of the proximal interphalangeal joint of the 4th finger
Ulnar deviation of the ring finger	Ulnar deviation of the 4th finger
Radial deviation of the ring finger	Radial deviation of the 4th finger
Hypoplastic/small 4th finger	Short 4th finger
Short ring finger	Short 4th finger
Absent ring finger	Aplasia of the 4th finger
Abnormality of the outermost bone of ring finger	Abnormality of the distal phalanx of the 4th finger
Abnormal middle bone of ring finger	Abnormality of the middle phalanx of the 4th finger
Abnormality of the middle phalanx of the ring finger	Abnormality of the middle phalanx of the 4th finger
Abnormal innermost bone of ring finger	Abnormality of the proximal phalanx of the 4th finger
Abnormality of the proximal phalanx of the ring finger	Abnormality of the proximal phalanx of the 4th finger
Curved ring finger bone	Curved phalanges of the 4th finger
Curved outermost ring finger bone	Curved distal phalanx of the 4th finger
Curved middle ring finger bone	Curved middle phalanx of the 4th finger
Curved innermost ring finger bone	Curved proximal phalanx of the 4th finger
Absent/small outermost ring finger bone	Aplasia/Hypoplasia of the distal phalanx of the 4th finger
Absent/underdeveloped outermost ring finger bone	Aplasia/Hypoplasia of the distal phalanx of the 4th finger
Hypoplastic/small distal phalanx of the 4th finger	Short distal phalanx of the 4th finger
Short distal phalanx of the fourth finger	Short distal phalanx of the 4th finger
Short outermost bone of ring finger	Short distal phalanx of the 4th finger
Absent outermost bone of ring finger	Aplasia of the distal phalanx of the 4th finger
Broad outermost bone of ring finger	Broad distal phalanx of the 4th finger
Wide outermost bone of ring finger	Broad distal phalanx of the 4th finger
Broad middle bone of the 4th finger	Broad middle phalanx of the 4th finger
Absent middle bone of 4th finger	Absent middle phalanx of 4th finger
Aplasia of the middle phalanx of the 4th finger	Absent middle phalanx of 4th finger
Hypoplastic/small middle phalanx of ring finger	Short middle phalanx of the 4th finger
Hypoplastic/small middle phalanx of the 4th finger	Short middle phalanx of the 4th finger
