HPO name	Synonyms
Dermatochalasis	Baggy eyes, Droopy eyelid skin, Extra eyelid skin, Eyelid dermatochalasia, Hooding of eyelids, Redundant eyelid skin
Dimple chin	Chin butt, Chin dent, Chin dimple, Chin dimples, Chin skin dimple, Dimple chin, Gelasin of chin, Indentation of chin
Cleft mandible	Cleft lower jaw, Mandibular cleft
Midline defect of mandible	Midline cleft of mandible
Abnormality of the temporomandibular joint	Abnormality of the jaw joint, Anomaly of the temporomandibular joint, Deformity of the jaw joint, Deformity of the temporomandibular joint, Derangement of the temporomandibular joint, Malformation of jaw joint, Malformation of the temporomandibular joint
Asymmetry of the maxilla	Asymmetry of right and left side of the maxilla, Asymmetry of the upper jaw, Asymmetry of upper jaw, Canted maxilla, Canted upper jaw, Crooked maxilla, Crooked upper jaw, Deviation of the maxilla, Deviation of the upper jaw, Tilted maxilla, Tilted upper jaw, Unequal sides of maxilla, Uneven maxilla, Uneven upper jaw
Aplasia/Hypoplasia of the premaxilla	Aplasia/hypoplasia of the intermaxillary bone, Aplasia/hypoplasia of the primary palate bone
Aplasia of the premaxilla	Absence of the intermaxillary bone, Absence of the premaxilla, Absence of the primary palate bone, Aplasia of the intermaxillary bone, Aplasia of the primary palate bone, Failure of development of premaxilla, Failure of development of the primary palate bone, Missing premaxilla, Missing primary palate bone
Abnormality of the premaxilla	Abnormality of the intermaxillary bone, Abnormality of the intermaxillary segment of the maxilla, Abnormality of the premaxillary bone, Abnormality of the primary palate bone
Prominence of the premaxilla	Anterior position of the premaxilla, Anterior position of the primary palate bone, Premaxillary bone excess, Prominence of the intermaxillary bone, Prominence of the primary palate bone
Absent toe	Absent toe, Absent toes, Aplasia of the toes, Aplasia of toe
Broad columella	Columella, broad, Columella, wide, Fullness of columella, Hyperplasia of columella, Increased width of columella
Chordoma	
Low insertion of columella	Ala higher than columella, Columella, low insertion
Short eyelashes	Decreased length of eyelashes, Short eyelashes
Palmar hyperkeratosis	
Ectopic calcification	
Sacrococcygeal pilonidal abnormality	
Pilonidal sinus	Pilonidal cyst
Pilonidal fistula	
Pilonidal abscess	Sacrococcygeal fistula
Anomalous pulmonary venous return	
Partial anomalous pulmonary venous return	Partial anomalous pulmonary venous connection
Cor triatriatum	Triatrial heart
Vascular ring	Vascular ring of aorta
Tracheobronchmegaly	
Bronchomegaly	
Tracheomegaly	
Large pelvis bone	Large pelvis, Large pelvis bone
Hyperacusis	
Skin dimples	Skin dimples
Shoulder dimples	Shoulder dimples
Erythema	Redness of skin or mucous membrane
Uterine neoplasm	Uterine cancer, Uterine neoplasia, Uterine tumor
Gonadal neoplasm	Gonadal neoplasia
Urinary tract neoplasm	Urinary tract neoplasia
Genital neoplasm	Genital neoplasia, Genital tumor
Testicular neoplasm	Testicular cancer, Testicular neoplasia, Testicular tumor
Abnormality of the Leydig cells	
Hyoplasia of the Leydig cells	
Hyperplasia of the Leydig cells	
Bifid nail	duplicated nail, Notched nail
Impaired visuospatial constructive cognition	
Cerebellar glioma	
Brainstem glioma	
Hemangioblastoma	Haemangioblastoma
Lip freckle	Ephelis of lip, Labial lentigo, Lip freckle, Lip lentigo
Pinealoma	
Absent cupid's bow	Absent cupid's bow, Agenesis of cupid's bow, Aplasia of cupid's bow, Failure of development of cupid's bow, Lack of cupid's bow, Missing cupid's bow
Underdeveloped nasolabial fold	Flat nasolabial fold, Nasolabial crease, hypoplastic, Nasolabial crease, underdeveloped, Nasolabial fold, hypoplastic, Shallow nasolabial fold
Perioral hyperpigmentation	Darkening of skin around the mouth, Increased pigmentation around the mouth
Everted upper lip vermilion	Drooping upper lip, Eclabium of upper lip, Everted prominent upper lip, Everted upper lip, Outward turned upper lip, Protruding upper lip
Tented upper lip vermilion	Inverted V-shaped upper lip, Tented mouth, Tented upper lip
Upturned corners of mouth	Upturned corners of mouth, Upturned mouth, Upturned oral commisures
U-Shaped upper lip vermilion	Carp-like mouth, Carp-shaped mouth, Fish mouth, Large, carp-shaped mouth, Wide, carp-shaped mouth
Open bite	Absence of overlap of upper and lower teeth, Open bite, Open bite between upper and lower teeth
Protruding tongue	Lingual prolapse, Lingual prominence, Lingual protrusion, Prolapse of tongue, Prominent tongue, Protruding tongue, Tongue protrusion, Tongue sticking out of mouth
Broad uvula	Wide uvula
Long uvula	Elongated uvula, Hyperplasia of uvula, Long palatine uvula
Narrow uvula	Narrow palatine uvula, Thin uvula
Short uvula	Blunt uvula, Hypoplastic uvula, Short palatine uvula
Abnormal number of hair whorls	Abnormal number of hair swirls, Abnormal number of hair whorls, Double crown (hair whorls), Extra hair swirls, Extra hair whorl, Supernumary hair swirls, Supernumary hair whorl
Abnormal position of hair whorl	Abnormal location of hair swirl, Abnormal position of hair whorl
Nevus sebaceous	Naevus sebaceous, Organoid nevus, Sebaceous mole, Sebaceous naevus, Sebaceous nevus
Epidermal nevus	Epidermal nevi
Linear nevus sebaceous	
Generalized tonic seizures	Hypertonic seizures
Atonic seizures	astatic seizures, drop attacks, drop seizures, Hypotonic seizures, Sudden loss of muscle tone
Dacrystic seizures	
Gelastic seizures	
Scintillating scotoma	
Ridged cranial sutures	Cranial suture ridges
Abnormal fifth cranial nerve morphology	Abnormal trigeminal nerve morphology, Abnormality of the fifth cranial nerve, Abnormality of the nervus trigeminus
Abnormality of the eleventh cranial nerve	Abnormality of cranial nerve XI, Abnormality of the accessory nerve
Abnormality of the twelfth cranial nerve	Abnormality of cranial nerve 12, Abnormality of cranial nerve xii, Abnormality of the hypoglossal nerve
Abnormality of the seventh cranial nerve	Abnormality of the facial nerve
Hemifacial spasm	Hemifacial spasms, Spasms on one side of the face
Impaired temperature sensation	Abnormality of temperature sensation, Impaired temperature sensation, Loss of temperature sensation
Impaired tactile sensation	Impaired touch sensation, Loss of tactile sensation
Impaired proprioception	Abnormality of proprioception
Abnormality of pain sensation	
Spontaneous pain sensation	
Trophic changes related to pain	Trophic changes
Dissociated sensory loss	
Abnormal circulating copper concentration	Abnormal copper levels
Decreased serum ceruloplasmin	Decreased serum ceruloplasmin, Hypoceruloplasminaemia, Hypoceruloplasminemia
High nonceruloplasmin-bound serum copper	
Increased urinary copper concentration	Increased urinary copper concentration
Multifocal epileptiform discharges	Multifocal EEG abnormality
EEG with focal slow activity	EEG: focal slow activity, EEG: localised slow activity, EEG: localized slow activity
EEG with multifocal slow activity	
EEG with generalized slow activity	EEG: generalised slow activity, EEG: generalized slow activity
EEG with persistent abnormal rhythmic activity	EEG: persistent abnormal rhythmic activity
EEG with spike-wave complexes (<2.5 Hz)	
EEG with spike-wave complexes (2.5-3.5 Hz)	
EEG with spike-wave complexes (>3.5 Hz)	EEG with 3-4-Hz spike waves
EEG with spike-wave complexes	
EEG with burst suppression	
EEG with photoparoxysmal response	Photoparoxysmal response on EEG
EEG with periodic lateralized epileptiform discharges	EEG: periodic lateralized epileptiform discharges
EEG with generalized low amplitude activity	EEG: generalised low amplitude activity
EEG with localized low amplitude activity	EEG: localised low amplitude activity
EEG with periodic complexes	EEG: periodic complexes, Radermecker complexes
EEG with periodic abnormalities	EEG: periodic abnormalities
EEG with hyperventilation-induced epileptiform discharges	
Frank breech presentation	
Complete breech presentation	
Incomplete breech presentation	
Delayed fine motor development	
Receptive language delay	
Intellectual disability, severe	Early and severe mental retardation, Intellectual disability, severe, Mental retardation, severe, Severe mental retardation
Oppositional defiant disorder	
Abdominal wall defect	Abdominal wall defect, Congenital anterior abdominal wall defect
Dyssynergia	
Ocular dyssynergia	
Asynergia	
Sensory ataxia	Afferent ataxia, Ataxia, sensory, Spinal ataxia
T-wave inversion	EKG: T-wave inversion
Cervical spinal cord atrophy	
Tendon xanthomatosis	Tendon xanthomas
Chaddock reflex	
Abnormal circulating protein level	Abnormality of circulating protein level, Blood protein disease, Serum protein abnormality
Monocular strabismus	Unilateral strabismus
Fetal cystic hygroma	
Postnatal cystic hygroma	
Increased nuchal translucency	
Abnormality of the umbilical cord	Umbilical cord issue
Pulmonary valve atresia	
Aortic valve atresia	Aortic atresia
Acromelia	
Aseptic necrosis	Aseptic bone necrosis, Avascular necrosis, Bone infarction, Death of bone due to decreased blood supply, Ischemic bone necrosis, Osteochondronecrosis, Osteonecrosis
Osteochondritis Dissecans	Osteochondrosis dissecans
Morbus Koehler	
Morbus Kienboeck	Kienboeck's disease, Kienböck's disease, Lunatomalacia
Morbus Osgood-Schlatter	Osgood Schlatter disease
Morbus Scheuermann	Calve disease, Juvenile Osteochondrosis of the spine, Scheuermann disease, Scheuermann kyphosis, Sherman's Disease
Abnormal circulating branched chain amino acid concentration	
Abnormal circulating phenylalanine concentration	Abnormality of phenylalanine metabolism
Abnormal circulating serine family amino acid concentration	Abnormality of serine family amino acid metabolism
Abnormal circulating glycine concentration	
Hypersarcosinemia	High plasma sarcosine levels
Hypersarcosinuria	High urine sarcosine levels
Abnormal circulating sarcosine concentration	
Abnormal circulating aspartate family amino acid concentration	
Abnormal circulating threonine concentration	Abnormality of threonine metabolism
Abnormal circulating methionine concentration	Abnormality of methionine metabolism
Abnormal circulating glutamine family amino acid concentration	
Abnormal circulating glutamine concentration	
Abnormal circulating histidine concentration	Abnormality of histidine metabolism
obsolete Abnormality of histidine metabolism	
Hyperhistidinemia	High blood histidine level, Histidinemia
Abnormal circulating proline concentration	
Abnormal circulating lysine concentration	Abnormality of lysine metabolism
Abnormal circulating arginine concentration	Abnormality of arginine metabolism
Hypervalinemia	High blood valine concentration
Hyperleucinemia	High blood leucine concentration
Abnormal circulating isoleucine concentration	
Hyperisoleucinemia	High blood isoleucine concentration
Abnormal circulating valine cocentration	Abnormality of valine metabolism
Abnormal circulating pyruvate family amino acid concentration	Abnormality of pyruvate family amino acid metabolism
Abnormal circulating alanine concentration	Abnormality of alanine metabolism
Abnormal circulating tyrosine concentration	
Abnormal circulating cysteine concentration	
Abnormal circulating homocysteine concentration	
Zonular cataract	
Coralliform cataract	
Membranous cataract	
Anterior subcapsular cataract	
Posterior cortical cataract	
Nuclear punctate cataract	
Aculeiform cataract	Fasciculiform cataract, Frosted cataract, Needle-shaped cataract
Abnormal blood inorganic cation concentration	Abnormality of divalent inorganic cation homeostasis
Increased urinary orotic acid cocentration	
Abnormal blood cation concentration	Abnormality of cation homeostasis
Abnormal blood monovalent inorganic cation concentration	Abnormality of monovalent inorganic cation homeostasis
Abnormal blood sodium concentration	Abnormality of sodium homeostasis
Abnormal circulating nucleobase concentration	Abnormal nucleoside levels
Hyperxanthinemia	
Xanthinuria	Increased urinary xanthine
Abnormality of the upper urinary tract	Abnormality of the upper urinary tract
Abnormality of the lower urinary tract	
Abnormality of the nasal skeleton	Abnormality of the nasal skeleton, Anomaly of the nasal skeleton, Deformity of the bones of the nose, Deformity of the nasal skeleton, Distortion of the bones of the nose, Distortion of the nasal skeleton, Malformation of the bones of the nose, Malformation of the nasal skeleton
Abnormality of the external nose	Abnormality of the external nose, Anomaly of the external nose, Deformity of the external nose, Malformation of the external nose
Abnormality of the nasal bone	Abnormality of the nasal bone, Anomaly of the nasal bones, Deformity of the nasal bones, Malformation of the nasal bones
Aplasia/Hypoplasia of the nasal bone	
Aplasia of the nasal bone	Absence of the nasal bone, Agenesis of the nasal bone, Failure of development of the nasal bone, Lack of development of the nasal bone, Missing nasal bone
Echogenic intracardiac focus	
Echogenic fetal bowel	Echogenic bowel
Abnormality of the renal pelvis	
Fetal pyelectasis	Fetal renal pelvic dilatation, Mild fetal hydronephrosis
Dilatation of the renal pelvis	
Abnormality of ductus venosus blood flow	
Abnormality of the fetal cardiovascular system	Abnormality of the fetal circulation system
Abnormality of umbilical vein blood flow	
Abnormality of the fourth ventricle	
Abnormality of the third ventricle	
Mild fetal ventriculomegaly	
Noncommunicating hydrocephalus	
Hypoplastic right heart	Hypoplastic right heart syndrome, Underdeveloped right heart
Dilatation of the bladder	
Fetal megacystis	
Congenital posterior urethral valve	Posterior urethral valve, Posterior urethral valves
Bilateral renal agenesis	
Congenital cystic adenomatoid malformation of the lung	CCAM, Congenital cystic disease of the lung, Cystic adenomatoid lung disease
Bronchopulmonary sequestration	
Intralobar sequestration	
Extralobar sequestration	
Absence of stomach bubble on fetal sonography	
Abnormal circulating long-chain fatty-acid concentration	
Abnormal circulating phytanic acid level	
Abnormal circulating fatty-acid anion concentration	Abnormality of fatty acid anion
